"","population","time","block","plot","trt","sample","name","X","Y","Zm01_1","Zm01_2","Zm02_1","Zm02_2","Zm03_1","Zm03_2","Zm04_1","Zm04_2","Zm05_1","Zm05_2","Zm06_1","Zm06_2","Zm07_1","Zm07_2","Zm09_1","Zm09_2","Zm10_1","Zm10_2","mlg"
"47","T1_2B",1,2,"B","0X",12,"T1-2B12",6,5,165,171,99,102,105,105,80,80,196,204,284,290,93,96,128,128,146,146,47
"48","T1_2B",1,2,"B","0X",13,"T1-2B13",1,4,165,165,102,102,105,105,80,94,196,204,284,290,93,96,134,134,146,148,37
"49","T1_2B",1,2,"B","0X",14,"T1-2B14",2,4,165,165,102,102,105,105,80,94,196,204,284,290,93,96,134,134,146,148,37
"50","T1_2B",1,2,"B","0X",15,"T1-2B15",3,4,165,165,102,102,105,105,80,94,196,204,284,290,93,96,134,134,146,148,37
"51","T1_2B",1,2,"B","0X",16,"T1-2B16",4,4,165,165,102,102,105,105,80,94,196,204,284,290,93,96,134,134,146,148,37
"52","T1_2B",1,2,"B","0X",17,"T1-2B17",5,4,165,171,99,102,105,105,80,80,196,204,284,290,93,96,128,128,146,146,47
"53","T1_2B",1,2,"B","0X",18,"T1-2B18",6,4,165,171,99,102,105,105,80,80,196,204,284,290,93,96,128,128,146,146,47
"54","T1_2B",1,2,"B","0X",19,"T1-2B19",1,3,165,165,102,102,105,105,80,94,196,204,284,290,93,96,134,134,146,148,37
"55","T1_2B",1,2,"B","0X",20,"T1-2B20",2,3,165,165,102,102,105,105,80,94,196,204,284,290,93,96,134,134,146,148,37
"56","T1_2B",1,2,"B","0X",21,"T1-2B21",3,3,165,165,102,102,105,105,80,94,196,204,284,290,93,96,134,134,146,148,37
"57","T1_2B",1,2,"B","0X",22,"T1-2B22",4,3,165,165,102,102,105,105,80,94,196,204,284,290,93,96,134,134,146,148,37
"11000","T1_2B",1,2,"B","0X",23,"T1-2B23",5,3,165,171,99,102,105,105,80,80,196,204,284,290,93,96,128,128,146,146,47
"58","T1_2B",1,2,"B","0X",24,"T1-2B24",6,3,165,171,99,102,105,105,80,80,196,204,284,290,93,96,128,128,146,146,47
"59","T1_2B",1,2,"B","0X",25,"T1-2B25",1,2,165,165,102,102,105,105,80,94,196,204,284,290,93,96,134,134,146,148,37
"60","T1_2B",1,2,"B","0X",26,"T1-2B26",2,2,165,165,102,102,105,105,80,94,196,204,284,290,93,96,134,134,146,148,37
"61","T1_2B",1,2,"B","0X",27,"T1-2B27",3,2,165,165,102,102,105,105,80,94,196,204,284,290,93,96,134,134,146,148,37
"62","T1_2B",1,2,"B","0X",28,"T1-2B28",4,2,165,165,102,102,105,105,80,94,196,204,284,290,93,96,134,134,146,148,37
"63","T1_2B",1,2,"B","0X",29,"T1-2B29",5,2,165,171,99,102,105,105,80,80,196,204,284,290,93,96,128,128,146,146,47
"64","T1_2B",1,2,"B","0X",30,"T1-2B30",6,2,165,171,99,102,105,105,80,80,196,204,284,290,93,96,128,128,146,146,47
"65","T1_2B",1,2,"B","0X",31,"T1-2B31",1,1,165,165,102,102,105,105,80,94,196,204,284,290,93,96,134,134,146,148,37
"66","T1_2B",1,2,"B","0X",33,"T1-2B33",3,1,165,165,102,102,105,105,80,94,196,204,284,290,93,96,134,134,146,148,37
"67","T1_2B",1,2,"B","0X",34,"T1-2B34",4,1,165,171,99,102,105,105,80,80,196,204,284,290,93,96,128,128,146,146,47
"68","T1_2B",1,2,"B","0X",35,"T1-2B35",5,1,165,165,102,102,105,105,80,94,196,204,284,290,93,96,134,134,146,148,37
"69","T1_2B",1,2,"B","0X",36,"T1-2B36",6,1,165,165,102,102,105,105,80,94,196,204,284,290,93,96,134,134,146,148,37
"70","T1_2C",1,2,"C","2X",1,"T1-2C1-AB",1,6,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"71","T1_2C",1,2,"C","2X",2,"T1-2C2-AB",2,6,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"72","T1_2C",1,2,"C","2X",3,"T1-2C3-AB",3,6,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"73","T1_2C",1,2,"C","2X",4,"T1-2C4-AB",4,6,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"74","T1_2C",1,2,"C","2X",5,"T1-2C5-AB",5,6,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"75","T1_2C",1,2,"C","2X",6,"T1-2C6-AB",6,6,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"76","T1_2C",1,2,"C","2X",7,"T1-2C7-AB",1,5,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"77","T1_2C",1,2,"C","2X",8,"T1-2C8-AB",2,5,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"78","T1_2C",1,2,"C","2X",9,"T1-2C9-AB",3,5,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"79","T1_2C",1,2,"C","2X",10,"T1-2C10-AB",4,5,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"80","T1_2C",1,2,"C","2X",11,"T1-2C11-AB",5,5,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"81","T1_2C",1,2,"C","2X",12,"T1-2C12-AB",6,5,165,171,99,102,105,105,80,94,196,196,284,284,93,96,128,128,146,148,2
"82","T1_2C",1,2,"C","2X",13,"T1-2C13-AB",1,4,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"83","T1_2C",1,2,"C","2X",14,"T1-2C14-AB",2,4,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"84","T1_2C",1,2,"C","2X",15,"T1-2C15-AB",3,4,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"85","T1_2C",1,2,"C","2X",16,"T1-2C16-AB",4,4,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"86","T1_2C",1,2,"C","2X",17,"T1-2C17-AB",5,4,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"87","T1_2C",1,2,"C","2X",18,"T1-2C18-AB",6,4,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"88","T1_2C",1,2,"C","2X",19,"T1-2C19-AB",1,3,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"89","T1_2C",1,2,"C","2X",20,"T1-2C20-AB",2,3,165,171,99,102,105,105,80,94,196,196,284,284,93,96,128,128,146,148,2
"90","T1_2C",1,2,"C","2X",21,"T1-2C21-AB",3,3,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"2376","T1_2C",1,2,"C","2X",23,"T1-2C23-AB",5,3,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"3100","T1_2C",1,2,"C","2X",24,"T1-2C24-AB",6,3,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"91","T1_2C",1,2,"C","2X",25,"T1-2C25-AB",1,2,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"92","T1_2C",1,2,"C","2X",26,"T1-2C26-AB",2,2,165,171,99,102,105,105,80,94,196,196,284,284,93,96,128,128,146,148,2
"93","T1_2C",1,2,"C","2X",27,"T1-2C27-AB",3,2,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"94","T1_2C",1,2,"C","2X",28,"T1-2C28-AB",4,2,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"95","T1_2C",1,2,"C","2X",29,"T1-2C29-AB",5,2,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"4100","T1_2C",1,2,"C","2X",30,"T1-2C30-AB",6,2,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"96","T1_2C",1,2,"C","2X",31,"T1-2C31-AB",1,1,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"97","T1_2C",1,2,"C","2X",33,"T1-2C33-AB",3,1,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"98","T1_2C",1,2,"C","2X",34,"T1-2C34-AB",4,1,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"99","T1_2C",1,2,"C","2X",35,"T1-2C35-AB",5,1,165,165,99,102,105,105,80,80,196,196,284,290,90,96,128,128,146,150,70
"100","T1_2C",1,2,"C","2X",36,"T1-2C36-AB",6,1,165,165,102,102,105,109,80,80,196,196,284,290,87,96,134,136,146,150,100
"101","T1_2D",1,2,"D","4X",1,"T1_2D1_AB",1,6,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"102","T1_2D",1,2,"D","4X",2,"T1_2D2_AB",2,6,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"103","T1_2D",1,2,"D","4X",3,"T1_2D3_AB",3,6,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"104","T1_2D",1,2,"D","4X",4,"T1_2D4_AB",4,6,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"105","T1_2D",1,2,"D","4X",5,"T1_2D5_AB",5,6,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"106","T1_2D",1,2,"D","4X",6,"T1_2D6_AB",6,6,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"107","T1_2D",1,2,"D","4X",7,"T1_2D7_AB",1,5,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"108","T1_2D",1,2,"D","4X",8,"T1_2D8_AB",2,5,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"109","T1_2D",1,2,"D","4X",9,"T1_2D9_AB",3,5,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"110","T1_2D",1,2,"D","4X",10,"T1_2D10_AB",4,5,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"111","T1_2D",1,2,"D","4X",11,"T1_2D11_AB",5,5,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"112","T1_2D",1,2,"D","4X",12,"T1_2D12_AB",6,5,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"113","T1_2D",1,2,"D","4X",13,"T1_2D13_AB",1,4,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"114","T1_2D",1,2,"D","4X",14,"T1_2D14_AB",2,4,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"115","T1_2D",1,2,"D","4X",15,"T1_2D15_AB",3,4,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"116","T1_2D",1,2,"D","4X",16,"T1_2D16_AB",4,4,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"117","T1_2D",1,2,"D","4X",17,"T1_2D17_AB",5,4,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"118","T1_2D",1,2,"D","4X",18,"T1_2D18_AB",6,4,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"119","T1_2D",1,2,"D","4X",19,"T1_2D19_AB",1,3,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"120","T1_2D",1,2,"D","4X",20,"T1_2D20_AB",2,3,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"121","T1_2D",1,2,"D","4X",21,"T1_2D21_AB",3,3,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"122","T1_2D",1,2,"D","4X",22,"T1_2D22_AB",4,3,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"123","T1_2D",1,2,"D","4X",23,"T1_2D23_AB",5,3,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"124","T1_2D",1,2,"D","4X",24,"T1_2D24_AB",6,3,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"125","T1_2D",1,2,"D","4X",25,"T1_2D25_AB",1,2,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"126","T1_2D",1,2,"D","4X",26,"T1_2D26_AB",2,2,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"127","T1_2D",1,2,"D","4X",27,"T1_2D27_AB",3,2,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"128","T1_2D",1,2,"D","4X",28,"T1_2D28_AB",4,2,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"129","T1_2D",1,2,"D","4X",29,"T1_2D29_AB",5,2,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"130","T1_2D",1,2,"D","4X",30,"T1_2D30_AB",6,2,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"131","T1_2D",1,2,"D","4X",31,"T1_2D31_AB",1,1,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"132","T1_2D",1,2,"D","4X",32,"T1_2D32_AB",2,1,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"133","T1_2D",1,2,"D","4X",33,"T1_2D33_AB",3,1,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"134","T1_2D",1,2,"D","4X",34,"T1_2D34_AB",4,1,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"135","T1_2D",1,2,"D","4X",35,"T1_2D35_AB",5,1,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"136","T1_2D",1,2,"D","4X",36,"T1_2D36_AB",6,1,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"137","T1_3A",1,3,"A","4X",1,"T1_3A1_AB",1,6,165,165,102,102,99,105,80,80,196,196,284,290,96,99,128,134,146,146,137
"138","T1_3A",1,3,"A","4X",3,"T1_3A3_AB",3,6,165,165,102,102,99,105,80,80,196,196,284,290,96,99,128,134,146,146,137
"139","T1_3A",1,3,"A","4X",4,"T1_3A4_AB",4,6,165,165,102,102,99,105,80,80,196,196,284,290,96,99,128,134,146,146,137
"140","T1_3A",1,3,"A","4X",5,"T1_3A5_AB",5,6,165,165,102,102,99,105,80,80,196,196,284,290,96,99,128,134,146,146,137
"141","T1_3A",1,3,"A","4X",6,"T1_3A6_AB",6,6,165,165,102,102,99,105,80,80,196,196,284,290,96,99,128,134,146,146,137
"142","T1_3A",1,3,"A","4X",7,"T1_3A7_AB",1,5,165,165,102,102,99,105,80,80,196,196,284,290,96,99,128,134,146,146,137
"143","T1_3A",1,3,"A","4X",8,"T1_3A8_AB",2,5,165,165,102,102,99,105,80,80,196,196,284,290,96,99,128,134,146,146,137
"144","T1_3A",1,3,"A","4X",9,"T1_3A9_AB",3,5,165,165,102,102,99,105,80,80,196,196,284,290,96,99,128,134,146,146,137
"145","T1_3A",1,3,"A","4X",10,"T1_3A10_AB",4,5,165,171,96,102,107,113,80,80,196,200,284,290,87,102,128,128,148,152,145
"146","T1_3A",1,3,"A","4X",11,"T1_3A11_AB",5,5,165,171,102,102,105,105,80,94,196,196,290,290,90,99,128,134,148,148,146
"147","T1_3A",1,3,"A","4X",13,"T1_3A13_AB",1,4,165,165,102,102,99,105,80,80,196,196,284,290,96,99,128,134,146,146,137
"148","T1_3A",1,3,"A","4X",14,"T1_3A14_AB",2,4,165,165,102,102,99,105,80,80,196,196,284,290,96,99,128,134,146,146,137
"149","T1_3A",1,3,"A","4X",15,"T1_3A15_AB",3,4,165,165,102,102,99,105,80,80,196,196,284,290,96,99,128,134,146,146,137
"150","T1_3A",1,3,"A","4X",16,"T1_3A16_AB",4,4,165,171,102,102,105,105,80,94,196,196,290,290,90,99,128,134,148,148,146
"151","T1_3A",1,3,"A","4X",17,"T1_3A17_AB",5,4,165,171,102,102,105,105,80,94,196,196,290,290,90,99,128,134,148,148,146
"152","T1_3A",1,3,"A","4X",18,"T1_3A18_AB",6,4,165,171,102,102,105,105,80,94,196,196,290,290,90,99,128,134,148,148,146
"153","T1_3A",1,3,"A","4X",19,"T1_3A19_AB",1,3,165,165,96,102,105,105,80,80,192,200,284,290,90,93,128,134,146,146,153
"154","T1_3A",1,3,"A","4X",20,"T1_3A20_AB",2,3,165,165,102,102,99,105,80,80,196,196,284,290,96,99,128,134,146,146,137
"155","T1_3A",1,3,"A","4X",21,"T1_3A21_AB",3,3,165,165,102,102,99,105,80,80,196,196,284,290,96,99,128,134,146,146,137
"156","T1_3A",1,3,"A","4X",22,"T1_3A22_AB",4,3,165,165,102,102,99,105,80,80,196,196,284,290,96,99,128,134,146,146,137
"157","T1_3A",1,3,"A","4X",23,"T1_3A23_AB",5,3,165,165,96,102,105,105,80,80,192,200,284,290,90,93,128,134,146,146,153
"158","T1_3A",1,3,"A","4X",24,"T1_3A24_AB",6,3,165,171,96,102,107,113,80,80,196,200,284,290,87,102,128,128,148,152,145
"159","T1_3A",1,3,"A","4X",25,"T1_3A25_AB",1,2,165,165,102,102,99,105,80,80,196,196,284,290,96,99,128,134,146,146,137
"160","T1_3A",1,3,"A","4X",26,"T1_3A26_AB",2,2,165,165,102,102,99,105,80,80,196,196,284,290,96,99,128,134,146,146,137
"161","T1_3A",1,3,"A","4X",27,"T1_3A27_AB",3,2,165,165,102,102,99,105,80,80,196,196,284,290,96,99,128,134,146,146,137
"162","T1_3A",1,3,"A","4X",28,"T1_3A28_AB",4,2,165,165,96,102,105,105,80,80,192,200,284,290,90,93,128,134,146,146,153
"163","T1_3A",1,3,"A","4X",29,"T1_3A29_AB",5,2,165,165,96,102,105,105,80,80,192,200,284,290,90,93,128,134,146,146,153
"164","T1_3A",1,3,"A","4X",30,"T1_3A30_AB",6,2,165,171,102,102,105,105,80,94,196,196,290,290,90,99,128,134,148,148,146
"5100","T1_3A",1,3,"A","4X",31,"T1_3A31_AB",1,1,165,165,102,102,99,105,80,80,196,196,284,290,96,99,128,134,146,146,137
"165","T1_3A",1,3,"A","4X",32,"T1_3A32_AB",2,1,165,165,102,102,99,105,80,80,196,196,284,290,96,99,128,134,146,146,137
"166","T1_3A",1,3,"A","4X",33,"T1_3A33_AB",3,1,165,165,102,102,99,105,80,80,196,196,284,290,96,99,128,134,146,146,137
"167","T1_3A",1,3,"A","4X",34,"T1_3A34_AB",4,1,165,165,102,102,99,105,80,80,196,196,284,290,96,99,128,134,146,146,137
"168","T1_3A",1,3,"A","4X",35,"T1_3A35_AB",5,1,165,171,102,102,105,105,80,94,196,196,290,290,90,99,128,134,148,148,146
"169","T1_3A",1,3,"A","4X",36,"T1_3A36_AB",6,1,165,171,102,102,105,105,80,94,196,196,290,290,90,99,128,134,148,148,146
"170","T1_3B",1,3,"B","1X",1,"T1-3B1",1,6,165,171,96,102,107,113,80,80,196,200,284,290,87,102,128,128,148,152,145
"171","T1_3B",1,3,"B","1X",2,"T1-3B2",2,6,165,171,96,102,107,113,80,80,196,200,284,290,87,102,128,128,148,152,145
"172","T1_3B",1,3,"B","1X",3,"T1-3B3",3,6,165,171,96,102,107,113,80,80,196,200,284,290,87,102,128,128,148,152,145
"173","T1_3B",1,3,"B","1X",4,"T1-3B4",4,6,165,171,96,102,107,113,80,80,196,200,284,290,87,102,128,128,148,152,145
"6100","T1_3B",1,3,"B","1X",5,"T1-3B5",5,6,165,171,96,102,107,113,80,80,196,200,284,290,87,102,128,128,148,152,145
"174","T1_3B",1,3,"B","1X",6,"T1-3B6",6,6,165,171,96,102,107,113,80,80,196,200,284,290,87,102,128,128,148,152,145
"175","T1_3B",1,3,"B","1X",8,"T1-3B8",2,5,165,171,96,102,107,113,80,80,196,200,284,290,87,102,128,128,148,152,145
"176","T1_3B",1,3,"B","1X",9,"T1-3B9",3,5,165,171,96,102,107,113,80,80,196,200,284,290,87,102,128,128,148,152,145
"177","T1_3B",1,3,"B","1X",10,"T1-3B10",4,5,165,171,96,102,107,113,80,80,196,200,284,290,87,102,128,128,148,152,145
"178","T1_3B",1,3,"B","1X",11,"T1-3B11",5,5,165,171,96,102,107,113,80,80,196,200,284,290,87,102,128,128,148,152,145
"179","T1_3B",1,3,"B","1X",12,"T1-3B12",6,5,165,171,96,102,107,113,80,80,196,200,284,290,87,102,128,128,148,152,145
"180","T1_3B",1,3,"B","1X",13,"T1-3B13",1,4,165,171,96,102,107,113,80,80,196,200,284,290,87,102,128,128,148,152,145
"181","T1_3B",1,3,"B","1X",14,"T1-3B14",2,4,165,171,96,102,105,105,80,80,196,200,284,290,87,96,134,134,146,150,181
"182","T1_3B",1,3,"B","1X",15,"T1-3B15",3,4,165,171,96,102,107,113,80,80,196,200,284,290,87,102,128,128,148,152,145
